0
"('sa', )"
"('##MS_SQLResourceSigningCertificate##', )"
"('##MS_SQLReplicationSigningCertificate##', )"
"('##MS_SQLAuthenticatorCertificate##', )"
"('##MS_PolicySigningCertificate##', )"
"('##MS_SmoExtendedSigningCertificate##', )"
"('##MS_PolicyEventProcessingLogin##', )"
"('##MS_PolicyTsqlExecutionLogin##', )"
"('##MS_AgentSigningCertificate##', )"
"('BUILTIN\\Administrators', )"
"('NT AUTHORITY\\SYSTEM', )"
"('NT AUTHORITY\\NETWORK SERVICE', )"
"('test_01', )"
"('test_02', )"
"('test_03', )"
"('test_04', )"
